Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 362,Computer Design,36309.0,LCD,09:30 AM - 10:45 AM,TR,"Theys, M",,Spring,2014,morning,75.0
CS 377,Communication and Ethical Issues in Computing,36312.0,LCD,12:00 PM - 12:50 PM,MW,"Solworth, J",,Spring,2014,afternoon,50.0
CS 385,Operating Systems Concepts and Design,17428.0,LCD,03:30 PM - 04:45 PM,TR,"Kimpe, D",,Spring,2014,afternoon,75.0
CS 401,Computer Algorithms I,17454.0,LCD,11:00 AM - 11:50 AM,MWF,"Lenz, J",,Spring,2014,morning,50.0
CS 401,Computer Algorithms I,20665.0,LCD,11:00 AM - 11:50 AM,MWF,"Lenz, J",,Spring,2014,morning,50.0
CS 401,Computer Algorithms I,17455.0,LCD,12:30 PM - 01:45 PM,TR,"Lillis, J",,Spring,2014,afternoon,75.0
CS 401,Computer Algorithms I,20667.0,LCD,12:30 PM - 01:45 PM,TR,"Lillis, J",,Spring,2014,afternoon,75.0
CS 421,Natural Language Processing,28653.0,LEC,12:30 PM - 01:45 PM,TR,"Di Eugenio, B",,Spring,2014,afternoon,75.0
CS 421,Natural Language Processing,28654.0,LEC,12:30 PM - 01:45 PM,TR,"Di Eugenio, B",,Spring,2014,afternoon,75.0
CS 422,User Interface Design and Programming,19650.0,LCD,10:00 AM - 10:50 AM,MWF,"Lyons, L",,Spring,2014,morning,50.0
CS 422,User Interface Design and Programming,20669.0,LCD,10:00 AM - 10:50 AM,MWF,"Lyons, L",,Spring,2014,morning,50.0
CS 424,Visualization and Visual Analytics,36552.0,LCD,01:00 PM - 02:15 PM,T,"Johnson, A; Leigh, J",,Spring,2014,afternoon,75.0
CS 424,Visualization and Visual Analytics,,LCD,03:30 PM - 04:45 PM,R,"Johnson, A; Leigh, J",,Spring,2014,afternoon,75.0
CS 424,Visualization and Visual Analytics,36553.0,LCD,01:00 PM - 02:15 PM,T,"Johnson, A; Leigh, J",,Spring,2014,afternoon,75.0
CS 424,Visualization and Visual Analytics,,LCD,03:30 PM - 04:45 PM,R,"Johnson, A; Leigh, J",,Spring,2014,afternoon,75.0
CS 426,Video Game Design and Development,27145.0,LCD,03:00 PM - 05:30 PM,F,"Tulewicz, M",,Spring,2014,afternoon,150.0
CS 426,Video Game Design and Development,27146.0,LCD,03:00 PM - 05:30 PM,F,"Tulewicz, M",,Spring,2014,afternoon,150.0
CS 440,Software Engineering I,29904.0,LCD,10:00 AM - 10:50 AM,MWF,"Bell, J",,Spring,2014,morning,50.0
CS 440,Software Engineering I,29905.0,LCD,10:00 AM - 10:50 AM,MWF,"Bell, J",,Spring,2014,morning,50.0
CS 442,Software Engineering II,33785.0,LEC,09:30 AM - 10:45 AM,TR,"Grechanik, M",,Spring,2014,morning,75.0
CS 442,Software Engineering II,33786.0,LEC,09:30 AM - 10:45 AM,TR,"Grechanik, M",,Spring,2014,morning,75.0
CS 450,Introduction to Networking,17432.0,LEC,11:00 AM - 11:50 AM,MWF,"Bell, J",,Spring,2014,morning,50.0
CS 450,Introduction to Networking,19163.0,LEC,11:00 AM - 11:50 AM,MWF,"Bell, J",,Spring,2014,morning,50.0
CS 466,Advanced Computer Architecture,26694.0,LCD,09:30 AM - 10:45 AM,TR,"Hefeida, M",,Spring,2014,morning,75.0
CS 466,Advanced Computer Architecture,26695.0,LCD,09:30 AM - 10:45 AM,TR,"Hefeida, M",,Spring,2014,morning,75.0
CS 469,Computer Systems Design,17434.0,LCD,02:00 PM - 03:15 PM,TR,"Rao, W",,Spring,2014,afternoon,75.0
CS 469,Computer Systems Design,19165.0,LCD,02:00 PM - 03:15 PM,TR,"Rao, W",,Spring,2014,afternoon,75.0
CS 473,Compiler Design,26540.0,LCD,02:00 PM - 02:50 PM,MWF,"Gjomemo, R",,Spring,2014,afternoon,50.0
CS 473,Compiler Design,26541.0,LCD,02:00 PM - 02:50 PM,MWF,"Gjomemo, R",,Spring,2014,afternoon,50.0
CS 474,Object-Oriented Languages and Environments,17435.0,LCD,03:30 PM - 04:45 PM,TR,"Buy, U",,Spring,2014,afternoon,75.0
CS 474,Object-Oriented Languages and Environments,19167.0,LCD,03:30 PM - 04:45 PM,TR,"Buy, U",,Spring,2014,afternoon,75.0
CS 480,Database Systems,17438.0,LCD,03:00 PM - 03:50 PM,MWF,"Sistla, A",,Spring,2014,afternoon,50.0
CS 480,Database Systems,19171.0,LCD,03:00 PM - 03:50 PM,MWF,"Sistla, A",,Spring,2014,afternoon,50.0
CS 491,Seminar,30595.0,LCD,12:00 PM - 02:30 PM,R,"Buy, U",,Spring,2014,afternoon,150.0
CS 491,Seminar,34895.0,LCD,02:00 PM - 03:15 PM,TR,"Ziebart, B",,Spring,2014,afternoon,75.0
CS 491,Seminar,34896.0,LCD,02:00 PM - 03:15 PM,TR,"Ziebart, B",,Spring,2014,afternoon,75.0
CS 491,Seminar,29907.0,LCD,05:00 PM - 07:30 PM,M,"Jones, S",,Spring,2014,evening,150.0
CS 491,Seminar,32690.0,LCD,05:00 PM - 07:30 PM,M,"Jones, S",,Spring,2014,evening,150.0
CS 499,Professional Development Seminar,30640.0,LCD,ARRANGED,,"Troy, P",,Spring,2014,unknown,
CS 501,Computer Algorithms II,33788.0,LCD,03:30 PM - 04:45 PM,TR,"DasGupta, B",,Spring,2014,afternoon,75.0
CS 502,Design and Analysis of Efficient Algorithms in Computational Molecular Biology,23104.0,LCD,02:00 PM - 03:15 PM,TR,"DasGupta, B",,Spring,2014,afternoon,75.0
CS 511,Artificial Intelligence II,17442.0,LCD,12:30 PM - 01:45 PM,TR,"Gmytrasiewicz, P",,Spring,2014,afternoon,75.0
CS 553,Distributed Computing Systems,31243.0,LCD,02:00 PM - 03:15 PM,TR,"Kshemkalyani, A",,Spring,2014,afternoon,75.0
CS 566,Parallel Processing,33563.0,LCD,04:00 PM - 05:15 PM,MW,"Dutt, S",,Spring,2014,afternoon,75.0
CS 569,High-Performance Processors and Systems,27021.0,LCD,11:00 AM - 12:15 PM,TR,"Hummel, J",,Spring,2014,morning,75.0
CS 581,Database Management Systems,28655.0,LCD,02:00 PM - 03:15 PM,TR,"Wolfson, O",,Spring,2014,afternoon,75.0
CS 582,Information Retrieval,17452.0,LCD,05:00 PM - 06:15 PM,MW,"Yu, C",,Spring,2014,evening,75.0
CS 583,Data Mining and Text Mining,25479.0,LCD,03:30 PM - 04:45 PM,TR,"Liu, B",,Spring,2014,afternoon,75.0
CS 588,Security and Privacy in Networked and Distributed Systems,29908.0,LCD,04:00 PM - 04:50 PM,MWF,"Solworth, J",,Spring,2014,afternoon,50.0
CS 590,Research Methods in Computer Science,34836.0,LCD,09:30 AM - 10:45 AM,TR,"Di Eugenio, B",,Spring,2014,morning,75.0
CS 594,Special Topics,33792.0,LCD,05:00 PM - 07:30 PM,T,"Zuck, L; Kanich, C",,Spring,2014,evening,150.0
CS 107,Introduction to Computing and Programming,14277.0,LEC,02:00 PM - 03:40 PM,MWF,"Wong, K",,Summer,2014,afternoon,100.0
CS 109,C/C ++ Programming for Engineers with MatLab,16592.0,LCD,01:30 PM - 03:10 PM,TR,"Bell, J",,Summer,2014,afternoon,100.0
CS 151,Mathematical Foundations of Computing,20275.0,LEC,12:00 PM - 01:40 PM,MWF,"Lillis, J",,Summer,2014,afternoon,100.0
CS 401,Computer Algorithms I,14209.0,LCD,10:00 AM - 11:40 AM,MWF,"Lowman, R",,Summer,2014,morning,100.0
CS 401,Computer Algorithms I,15054.0,LCD,10:00 AM - 11:40 AM,MWF,"Lowman, R",,Summer,2014,morning,100.0
CS 480,Database Systems,19865.0,LCD,10:45 AM - 01:15 PM,TR,"Sistla, A",,Summer,2014,morning,150.0
CS 480,Database Systems,19866.0,LCD,10:45 AM - 01:15 PM,TR,"Sistla, A",,Summer,2014,morning,150.0
CS 100,Discovering Computer Science,10615.0,LCD,01:00 PM - 01:50 PM,MWF,"Reed, D",,Fall,2014,afternoon,50.0
CS 107,Introduction to Computing and Programming,10634.0,LEC,04:00 PM - 04:50 PM,MWF,"Wong, K",,Fall,2014,afternoon,50.0
CS 109,C/C ++ Programming for Engineers with MatLab,36425.0,LCD,02:00 PM - 02:50 PM,MW,"Hummel, J",,Fall,2014,afternoon,50.0
CS 111,Program Design I,34656.0,LCD,09:30 AM - 10:45 AM,TR,"Troy, P",,Fall,2014,morning,75.0
CS 141,Program Design II,34657.0,LCD,03:00 PM - 03:50 PM,MWF,"Lillis, J",,Fall,2014,afternoon,50.0
CS 151,Mathematical Foundations of Computing,34858.0,LEC,02:00 PM - 03:15 PM,TR,"Berger-Wolf, T",,Fall,2014,afternoon,75.0
CS 201,Data Structures and Discrete Mathematics I,10641.0,LCD,11:00 AM - 12:15 PM,TR,"Troy, P",,Fall,2014,morning,75.0
CS 201,Data Structures and Discrete Mathematics I,,LCD,12:00 PM - 12:50 PM,M,"Troy, P",,Fall,2014,afternoon,50.0
CS 211,Programming Practicum,34861.0,LCD,11:00 AM - 11:50 AM,M,"Troy, P",,Fall,2014,morning,50.0
CS 251,Data Structures,36203.0,LCD,09:00 AM - 09:50 AM,MWF,"Reed, D",,Fall,2014,morning,50.0
CS 261,Machine Organization,36391.0,LCD,12:30 PM - 01:45 PM,TR,"Theys, M",,Fall,2014,afternoon,75.0
CS 301,Languages and Automata,10647.0,LEC,09:30 AM - 10:45 AM,TR,"Sistla, A",,Fall,2014,morning,75.0
CS 341,Programming Language Design and Implementation,36202.0,LCD,01:00 PM - 01:50 PM,MWF,"Hummel, J",,Fall,2014,afternoon,50.0
CS 342,Software Design,37162.0,LCD,12:30 PM - 01:45 PM,TR,"Buy, U",,Fall,2014,afternoon,75.0
CS 361,Computer Systems,36535.0,LCD,11:00 AM - 11:50 AM,MWF,"Bell, J",,Fall,2014,morning,50.0
CS 362,Computer Design,36196.0,LCD,02:00 PM - 03:15 PM,TR,"Theys, M",,Fall,2014,afternoon,75.0
CS 377,Communication and Ethical Issues in Computing,36199.0,LCD,02:00 PM - 02:50 PM,MW,"Bell, J",,Fall,2014,afternoon,50.0
CS 385,Operating Systems Concepts and Design,10654.0,LCD,03:30 PM - 04:45 PM,TR,"Eriksson, J",,Fall,2014,afternoon,75.0
CS 401,Computer Algorithms I,10669.0,LCD,11:00 AM - 11:50 AM,MWF,"Turan, G",,Fall,2014,morning,50.0
CS 401,Computer Algorithms I,20262.0,LCD,11:00 AM - 11:50 AM,MWF,"Turan, G",,Fall,2014,morning,50.0
CS 401,Computer Algorithms I,10671.0,LCD,12:30 PM - 01:45 PM,TR,"Kshemkalyani, A",,Fall,2014,afternoon,75.0
CS 401,Computer Algorithms I,20264.0,LCD,12:30 PM - 01:45 PM,TR,"Kshemkalyani, A",,Fall,2014,afternoon,75.0
CS 401,Computer Algorithms I,35218.0,LCD,02:00 PM - 02:50 PM,MWF,"Ziebart, B",,Fall,2014,afternoon,50.0
CS 401,Computer Algorithms I,35219.0,LCD,02:00 PM - 02:50 PM,MWF,"Ziebart, B",,Fall,2014,afternoon,50.0
CS 411,Artificial Intelligence I,10672.0,LCD,02:00 PM - 02:50 PM,MWF,"Gmytrasiewicz, P",,Fall,2014,afternoon,50.0
CS 411,Artificial Intelligence I,20266.0,LCD,02:00 PM - 02:50 PM,MWF,"Gmytrasiewicz, P",,Fall,2014,afternoon,50.0
CS 424,Visualization and Visual Analytics,33484.0,LCD,02:00 PM - 03:15 PM,TR,"Johnson, A",,Fall,2014,afternoon,75.0
CS 424,Visualization and Visual Analytics,33485.0,LCD,02:00 PM - 03:15 PM,TR,"Johnson, A",,Fall,2014,afternoon,75.0
CS 440,Software Engineering I,10674.0,LCD,11:00 AM - 12:15 PM,TR,"Bell, J",,Fall,2014,morning,75.0
CS 440,Software Engineering I,20269.0,LCD,11:00 AM - 12:15 PM,TR,"Bell, J",,Fall,2014,morning,75.0
CS 441,Distributed Object Programming Using Middleware,10676.0,LEC,09:30 AM - 10:45 AM,TR,"Grechanik, M",,Fall,2014,morning,75.0
CS 441,Distributed Object Programming Using Middleware,20270.0,LEC,09:30 AM - 10:45 AM,TR,"Grechanik, M",,Fall,2014,morning,75.0
CS 450,Introduction to Networking,10677.0,LEC,03:00 PM - 03:50 PM,MWF,"Kanich, C",,Fall,2014,afternoon,50.0
CS 450,Introduction to Networking,20271.0,LEC,03:00 PM - 03:50 PM,MWF,"Kanich, C",,Fall,2014,afternoon,50.0
CS 466,Advanced Computer Architecture,28472.0,LCD,11:00 AM - 12:15 PM,TR,"Theys, M",,Fall,2014,morning,75.0
CS 466,Advanced Computer Architecture,28473.0,LCD,11:00 AM - 12:15 PM,TR,"Theys, M",,Fall,2014,morning,75.0
CS 474,Object-Oriented Languages and Environments,10680.0,LCD,02:00 PM - 03:15 PM,TR,"Buy, U",,Fall,2014,afternoon,75.0
CS 474,Object-Oriented Languages and Environments,20205.0,LCD,02:00 PM - 03:15 PM,TR,"Buy, U",,Fall,2014,afternoon,75.0
CS 475,Object-Oriented Programming,37360.0,LCD,ARRANGED,,"Trajcevski, G",,Fall,2014,unknown,
CS 480,Database Systems,10682.0,LCD,03:30 PM - 04:45 PM,TR,"Wolfson, O",,Fall,2014,afternoon,75.0
CS 480,Database Systems,13947.0,LCD,03:30 PM - 04:45 PM,TR,"Wolfson, O",,Fall,2014,afternoon,75.0
CS 487,Building Secure Computer Systems,28124.0,LCD,01:00 PM - 01:50 PM,MWF,"Venkatesan Natarajan, V",,Fall,2014,afternoon,50.0
CS 487,Building Secure Computer Systems,28125.0,LCD,01:00 PM - 01:50 PM,MWF,"Venkatesan Natarajan, V",,Fall,2014,afternoon,50.0
CS 488,Computer Graphics I,36538.0,LCD,11:00 AM - 12:15 PM,TR,"Forbes, A",,Fall,2014,morning,75.0
CS 488,Computer Graphics I,36539.0,LCD,11:00 AM - 12:15 PM,TR,"Forbes, A",,Fall,2014,morning,75.0
CS 491,Seminar,26942.0,LCD,12:00 PM - 12:50 PM,MWF,,,Fall,2014,afternoon,50.0
CS 491,Seminar,27041.0,LCD,12:00 PM - 12:50 PM,MWF,,,Fall,2014,afternoon,50.0
CS 491,Seminar,30285.0,LCD,12:30 PM - 01:45 PM,TR,,,Fall,2014,afternoon,75.0
CS 491,Seminar,30757.0,LCD,12:30 PM - 01:45 PM,TR,,,Fall,2014,afternoon,75.0
CS 499,Professional Development Seminar,32402.0,LCD,ARRANGED,,"Troy, P",,Fall,2014,unknown,
CS 501,Computer Algorithms II,34850.0,LCD,11:00 AM - 12:15 PM,TR,"Turan, G",,Fall,2014,morning,75.0
CS 501,Computer Algorithms II,26929.0,LCD,02:00 PM - 03:15 PM,TR,"DasGupta, B",,Fall,2014,afternoon,75.0
CS 514,Expert Systems,22882.0,LCD,10:00 AM - 10:50 AM,MWF,"Gmytrasiewicz, P",,Fall,2014,morning,50.0
CS 521,Statistical Natural Language Processing,25674.0,LCD,12:00 PM - 12:50 PM,MWF,"Di Eugenio, B",,Fall,2014,afternoon,50.0
CS 559,Neural Networks,25622.0,LCD,05:00 PM - 06:15 PM,TR,"Graupe, D",,Fall,2014,evening,75.0
CS 565,Physical Design Automation,28478.0,LCD,06:00 PM - 07:15 PM,TR,"Dutt, S",,Fall,2014,evening,75.0
CS 566,Parallel Processing,33741.0,LCD,03:30 PM - 04:45 PM,TR,"Kshemkalyani, A",,Fall,2014,afternoon,75.0
CS 583,Data Mining and Text Mining,30286.0,LCD,03:30 PM - 04:45 PM,TR,"Liu, B",,Fall,2014,afternoon,75.0
CS 586,Data and Web Semantics,22888.0,LEC,12:30 PM - 01:45 PM,TR,"Cruz, I",,Fall,2014,afternoon,75.0
CS 587,Computer Systems Security,38056.0,LCD,03:00 PM - 04:15 PM,MW,"Solworth, J",,Fall,2014,afternoon,75.0
CS 587,Computer Systems Security,29451.0,LCD,06:30 PM - 07:45 PM,MW,"Solworth, J",,Fall,2014,evening,75.0
CS 594,Special Topics,27441.0,LCD,02:00 PM - 03:15 PM,TR,,,Fall,2014,afternoon,75.0
CS 100,Discovering Computer Science,17397.0,LCD,02:00 PM - 02:50 PM,MWF,"Bell, J",,Spring,2015,afternoon,50.0
CS 107,Introduction to Computing and Programming,17412.0,LEC,11:00 AM - 12:15 PM,TR,"Wong, K",,Spring,2015,morning,75.0
CS 109,C/C ++ Programming for Engineers with MatLab,19466.0,LCD,02:00 PM - 02:50 PM,MW,"Hummel, J",,Spring,2015,afternoon,50.0
CS 111,Program Design I,34013.0,LCD,09:30 AM - 10:45 AM,TR,"Troy, P",,Spring,2015,morning,75.0
CS 141,Program Design II,34447.0,LCD,01:00 PM - 01:50 PM,MWF,"Lillis, J",,Spring,2015,afternoon,50.0
CS 151,Mathematical Foundations of Computing,34014.0,LEC,12:00 PM - 12:50 PM,MWF,"Gmytrasiewicz, P",,Spring,2015,afternoon,50.0
CS 201,Data Structures and Discrete Mathematics I,17418.0,LCD,12:00 PM - 12:50 PM,F,"Theys, M",,Spring,2015,afternoon,50.0
CS 201,Data Structures and Discrete Mathematics I,,LCD,12:30 PM - 01:45 PM,TR,,,Spring,2015,afternoon,75.0
CS 211,Programming Practicum,34456.0,LCD,10:00 AM - 10:50 AM,M,"Troy, P",,Spring,2015,morning,50.0
CS 251,Data Structures,34460.0,LCD,11:00 AM - 11:50 AM,MWF,"Reed, D",,Spring,2015,morning,50.0
CS 261,Machine Organization,34463.0,LCD,02:00 PM - 03:15 PM,TR,"Theys, M",,Spring,2015,afternoon,75.0
CS 301,Languages and Automata,17422.0,LEC,01:00 PM - 01:50 PM,MWF,"Hummel, J",,Spring,2015,afternoon,50.0
CS 341,Programming Language Design and Implementation,34723.0,LCD,11:00 AM - 11:50 AM,MWF,"Hummel, J",,Spring,2015,morning,50.0
CS 342,Software Design,35976.0,LCD,02:00 PM - 03:15 PM,TR,"Buy, U",,Spring,2015,afternoon,75.0
CS 361,Computer Systems,36306.0,LCD,12:30 PM - 01:45 PM,TR,"Kanich, C",,Spring,2015,afternoon,75.0
CS 362,Computer Design,36309.0,LCD,09:30 AM - 10:45 AM,TR,"Theys, M",,Spring,2015,morning,75.0
CS 377,Communication and Ethical Issues in Computing,36312.0,LCD,12:00 PM - 12:50 PM,MW,"Reed, D",,Spring,2015,afternoon,50.0
CS 385,Operating Systems Concepts and Design,17428.0,LCD,03:30 PM - 04:45 PM,TR,"Eriksson, J",,Spring,2015,afternoon,75.0
CS 401,Computer Algorithms I,17454.0,LCD,11:00 AM - 11:50 AM,MWF,"Lenz, J",,Spring,2015,morning,50.0
CS 401,Computer Algorithms I,20665.0,LCD,11:00 AM - 11:50 AM,MWF,"Lenz, J",,Spring,2015,morning,50.0
CS 401,Computer Algorithms I,17455.0,LCD,12:30 PM - 01:45 PM,TR,"Berger-Wolf, T",,Spring,2015,afternoon,75.0
CS 401,Computer Algorithms I,20667.0,LCD,12:30 PM - 01:45 PM,TR,"Berger-Wolf, T",,Spring,2015,afternoon,75.0
CS 421,Natural Language Processing,28653.0,LEC,12:30 PM - 01:45 PM,TR,"Di Eugenio, B",,Spring,2015,afternoon,75.0
CS 421,Natural Language Processing,28654.0,LEC,12:30 PM - 01:45 PM,TR,"Di Eugenio, B",,Spring,2015,afternoon,75.0
CS 422,User Interface Design and Programming,19650.0,LCD,10:00 AM - 10:50 AM,MWF,"Marai, G",,Spring,2015,morning,50.0
CS 422,User Interface Design and Programming,20669.0,LCD,10:00 AM - 10:50 AM,MWF,"Marai, G",,Spring,2015,morning,50.0
CS 426,Video Game Design and Development,27145.0,LCD,03:00 PM - 05:30 PM,F,"Tulewicz, M",,Spring,2015,afternoon,150.0
CS 426,Video Game Design and Development,27146.0,LCD,03:00 PM - 05:30 PM,F,"Tulewicz, M",,Spring,2015,afternoon,150.0
CS 440,Software Engineering I,29904.0,LCD,12:00 PM - 12:50 PM,MWF,"Bell, J",,Spring,2015,afternoon,50.0
CS 440,Software Engineering I,29905.0,LCD,12:00 PM - 12:50 PM,MWF,"Bell, J",,Spring,2015,afternoon,50.0
CS 442,Software Engineering II,33785.0,LEC,09:30 AM - 10:45 AM,TR,"Bell, J",,Spring,2015,morning,75.0
CS 442,Software Engineering II,33786.0,LEC,09:30 AM - 10:45 AM,TR,"Bell, J",,Spring,2015,morning,75.0
CS 450,Introduction to Networking,17432.0,LEC,01:00 PM - 01:50 PM,MWF,"Phung, P",,Spring,2015,afternoon,50.0
CS 450,Introduction to Networking,19163.0,LEC,01:00 PM - 01:50 PM,MWF,"Phung, P",,Spring,2015,afternoon,50.0
CS 466,Advanced Computer Architecture,26694.0,LCD,09:30 AM - 10:45 AM,TR,"Zhu, Z",,Spring,2015,morning,75.0
CS 466,Advanced Computer Architecture,26695.0,LCD,09:30 AM - 10:45 AM,TR,"Zhu, Z",,Spring,2015,morning,75.0
CS 469,Computer Systems Design,17434.0,LCD,02:00 PM - 03:15 PM,TR,"Rao, W",,Spring,2015,afternoon,75.0
CS 469,Computer Systems Design,19165.0,LCD,02:00 PM - 03:15 PM,TR,"Rao, W",,Spring,2015,afternoon,75.0
CS 473,Compiler Design,26540.0,LCD,02:00 PM - 02:50 PM,MWF,"Gjomemo, R",,Spring,2015,afternoon,50.0
CS 473,Compiler Design,26541.0,LCD,02:00 PM - 02:50 PM,MWF,"Gjomemo, R",,Spring,2015,afternoon,50.0
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",37123.0,LCD,02:00 PM - 03:15 PM,TR,"Sloan, R",,Spring,2015,afternoon,75.0
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",37124.0,LCD,02:00 PM - 03:15 PM,TR,"Sloan, R",,Spring,2015,afternoon,75.0
CS 478,Software Development for Mobile Platforms,37633.0,LCD,03:30 PM - 04:45 PM,TR,"Buy, U",,Spring,2015,afternoon,75.0
CS 478,Software Development for Mobile Platforms,37634.0,LCD,03:30 PM - 04:45 PM,TR,"Buy, U",,Spring,2015,afternoon,75.0
CS 480,Database Systems,17438.0,LCD,03:00 PM - 03:50 PM,MWF,"Sistla, A",,Spring,2015,afternoon,50.0
CS 480,Database Systems,19171.0,LCD,03:00 PM - 03:50 PM,MWF,"Sistla, A",,Spring,2015,afternoon,50.0
CS 486,Secure Operating System Design and Implementation,37268.0,LCD,04:00 PM - 04:50 PM,MWF,"Solworth, J",,Spring,2015,afternoon,50.0
CS 486,Secure Operating System Design and Implementation,37269.0,LCD,04:00 PM - 04:50 PM,MWF,"Solworth, J",,Spring,2015,afternoon,50.0
CS 491,Seminar,34895.0,LCD,02:00 PM - 03:15 PM,TR,"Ziebart, B",,Spring,2015,afternoon,75.0
CS 491,Seminar,34896.0,LCD,02:00 PM - 03:15 PM,TR,"Ziebart, B",,Spring,2015,afternoon,75.0
CS 491,Seminar,37631.0,LCD,05:00 PM - 07:30 PM,R,"Jones, S",,Spring,2015,evening,150.0
CS 491,Seminar,37632.0,LCD,05:00 PM - 07:30 PM,R,"Jones, S",,Spring,2015,evening,150.0
CS 499,Professional Development Seminar,30640.0,LCD,ARRANGED,,"Lillis, J",,Spring,2015,unknown,
CS 501,Computer Algorithms II,33788.0,LCD,03:30 PM - 04:45 PM,TR,"DasGupta, B",,Spring,2015,afternoon,75.0
CS 502,Design and Analysis of Efficient Algorithms in Computational Molecular Biology,23104.0,LCD,02:00 PM - 03:15 PM,TR,"DasGupta, B",,Spring,2015,afternoon,75.0
CS 511,Artificial Intelligence II,17442.0,LCD,11:00 AM - 11:50 AM,MWF,"Gmytrasiewicz, P",,Spring,2015,morning,50.0
CS 524,Visualization and Visual Analytics II,32362.0,LCD,09:30 AM - 10:45 AM,TR,"Forbes, A",,Spring,2015,morning,75.0
CS 528,Virtual Reality,36788.0,LCD,02:00 PM - 03:15 PM,TR,"Johnson, A",,Spring,2015,afternoon,75.0
CS 540,Advanced Topics in Software Engineering,37332.0,LCD,12:30 PM - 01:45 PM,TR,"Grechanik, M",,Spring,2015,afternoon,75.0
CS 553,Distributed Computing Systems,31243.0,LCD,02:00 PM - 03:15 PM,TR,"Kshemkalyani, A",,Spring,2015,afternoon,75.0
CS 566,Parallel Processing,33563.0,LCD,06:00 PM - 07:15 PM,TR,"Dutt, S",,Spring,2015,evening,75.0
CS 569,High-Performance Processors and Systems,27021.0,LCD,11:00 AM - 12:15 PM,TR,"Zhu, Z",,Spring,2015,morning,75.0
CS 581,Database Management Systems,28655.0,LCD,02:00 PM - 03:15 PM,MW,"Wolfson, O",,Spring,2015,afternoon,75.0
CS 583,Data Mining and Text Mining,25479.0,LCD,12:30 PM - 01:45 PM,TR,"Liu, B",,Spring,2015,afternoon,75.0
CS 590,Research Methods in Computer Science,34836.0,LCD,09:30 AM - 10:45 AM,TR,"Zuck, L",,Spring,2015,morning,75.0
CS 594,Special Topics,33649.0,LCD,ARRANGED,,"Berger-Wolf, T",,Spring,2015,unknown,
CS 594,Special Topics,34724.0,LCD,12:15 PM - 02:45 PM,F,"Sistla, A; Zefran, M",,Spring,2015,afternoon,150.0
CS 594,Special Topics,33792.0,LCD,03:30 PM - 04:45 PM,TR,"Johnson, A",,Spring,2015,afternoon,75.0
CS 107,Introduction to Computing and Programming,14277.0,LEC,12:00 PM - 01:40 PM,MWF,"Troy, P",,Summer,2015,afternoon,100.0
CS 109,C/C ++ Programming for Engineers with MatLab,16592.0,LCD,01:30 PM - 03:10 PM,TR,"Bell, J",,Summer,2015,afternoon,100.0
CS 211,Programming Practicum,21179.0,LCD,11:00 AM - 11:50 AM,TR,"Lillis, J",,Summer,2015,morning,50.0
CS 401,Computer Algorithms I,14209.0,LCD,10:00 AM - 11:40 AM,MWF,"Lowman, R",,Summer,2015,morning,100.0
